mr	output
"name[Cotto], eatType[coffee shop], food[English], priceRange[£20-25], customer rating[high], area[city centre], near[The Portland Arms]"	Cotto is a coffee shop providing english food in the £20-25 price range. It is located in the city centre near The Portland Arms. Its customer rating is high.
"name[Cotto], eatType[coffee shop], food[English], priceRange[£20-25], customer rating[high], area[riverside], near[The Portland Arms]"	Cotto is a coffee shop that serves english food with a price range of £20-25. It has a high customer rating and is located in the riverside area near The Portland Arms.
"name[Cotto], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], near[The Portland Arms]"	Cotto is a coffee shop providing english food in the cheap price range. It is located in the city centre near The Portland Arms. Its customer rating is 5 out of 5.
"name[Cotto], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], area[riverside], near[The Portland Arms]"	Cotto is a cheap coffee shop near The Portland Arms in the riverside area. It serves english food and has a customer rating of 5 out of 5.
"name[Cotto], eatType[coffee shop], food[English], priceRange[cheap], customer rating[average], area[city centre], near[The Portland Arms]"	Cotto is a cheap coffee shop serving english food near The Portland Arms in the city centre. It has an average customer rating.
"name[Cotto], eatType[coffee shop], food[English], priceRange[cheap], customer rating[average], area[riverside], near[The Portland Arms]"	Cotto is a cheap coffee shop serving english food near The Portland Arms in the riverside area. It has an average customer rating.
"name[Cotto], eatType[coffee shop], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], near[The Portland Arms]"	Cotto is a coffee shop providing english food in the high price range. It is located in the city centre. It is near The Portland Arms. Its customer rating is 1 out of 5.
"name[Cotto], eatType[coffee shop], food[English], priceRange[high], customer rating[1 out of 5], area[riverside], near[The Portland Arms]"	Cotto is a high priced coffee shop that serves english food. It is located in the riverside area near The Portland Arms. It has a customer rating of 1 out of 5.
"name[Cotto], eatType[coffee shop], food[English], priceRange[high], customer rating[average], area[city centre], near[The Portland Arms]"	Cotto is an english coffee shop near The Portland Arms in the city centre. It has a high price range and an average customer rating.
"name[Cotto], eatType[coffee shop], food[English], priceRange[high], customer rating[average], area[riverside], near[The Portland Arms]"	Cotto is a high priced coffee shop that serves english food. It has an average customer rating and is located in the riverside area near The Portland Arms.
"name[Cotto], eatType[coffee shop], food[English], priceRange[less than £20], customer rating[low], area[city centre], near[The Portland Arms]"	Cotto is a coffee shop providing english food in the less than £20 price range. It is located in the city centre. It is near The Portland Arms. Its customer rating is low.
"name[Cotto], eatType[coffee shop], food[English], priceRange[less than £20], customer rating[low], area[riverside], near[The Portland Arms]"	Cotto is a low-priced coffee shop that serves english food. It is located in the riverside area near The Portland Arms. It has a low customer rating.
"name[Cotto], eatType[coffee shop], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], near[The Portland Arms]"	Cotto is a coffee shop providing english food in the moderate price range. It is located in the city centre near The Portland Arms. Its customer rating is 1 out of 5.
"name[Cotto], eatType[coffee shop], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], near[The Portland Arms]"	Cotto is a moderately priced coffee shop serving english food near The Portland Arms in the riverside area. It has a customer rating of 1 out of 5.
"name[Cotto], eatType[coffee shop], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], near[The Portland Arms]"	Cotto is a coffee shop providing english food in the moderate price range. It is located in the city centre near The Portland Arms.
"name[Cotto], eatType[coffee shop], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], near[The Portland Arms]"	Cotto is a moderately priced coffee shop near The Portland Arms in the riverside area. It serves english food and has a customer rating of 3 out of 5.
"name[Cotto], eatType[coffee shop], food[English], priceRange[more than £30], customer rating[high], area[city centre], near[The Portland Arms]"	Cotto is a coffee shop providing english food in the more than £30 price range. It is located in the city centre. It is near The Portland Arms. Its customer rating is high.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no]"	Fitzbillies is a coffee shop serving chinese food in the £20-25 price range. It has a high customer rating and is located in the city centre. It is not kid friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes]"	Fitzbillies is a coffee shop providing chinese food in the £20-25 price range. It is located in the city centre. Its customer rating is high.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no]"	Fitzbillies is a chinese coffee shop in the riverside area with a price range of £20-25. It has a high customer rating and is not kid friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes]"	Fitzbillies is a coffee shop providing chinese food in the £20-25 price range. It is located in the riverside. Its customer rating is high.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no]"	Fitzbillies is a cheap coffee shop serving chinese food in the city centre. It has a customer rating of 5 out of 5 and is not family friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes]"	Fitzbillies is a cheap, family friendly chinese coffee shop located in the city centre. It has a customer rating of 5 out of 5.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no]"	Fitzbillies is a cheap chinese coffee shop in the riverside area. It has a customer rating of 5 out of 5 and is not family friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes]"	Fitzbillies is a cheap, family friendly chinese coffee shop in the riverside area with a customer rating of 5 out of 5.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no]"	Fitzbillies is a cheap chinese coffee shop located in the city centre. It has an average customer rating and is not family friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes]"	Fitzbillies is a cheap, family friendly chinese coffee shop located in the city centre. It has an average customer rating.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no]"	Fitzbillies is a cheap chinese coffee shop in the riverside area. It has an average customer rating and is not family friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes]"	Fitzbillies is a cheap, family friendly chinese coffee shop in the riverside area with an average customer rating.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no]"	Fitzbillies is a coffee shop that provides chinese food in the high price range. It is located in the city centre. Its customer rating is 1 out of 5 and is not child friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes]"	Fitzbillies is a coffee shop providing chinese food in the high price range. It is located in the city centre. Its customer rating is 1 out of 5.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no]"	Fitzbillies is a high priced chinese coffee shop in the riverside area. It has a customer rating of 1 out of 5 and is not children friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes]"	Fitzbillies is a coffee shop providing chinese food in the high price range. It is located in the riverside. Its customer rating is 1 out of 5.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no]"	Fitzbillies is a high priced chinese coffee shop located in the city centre. It has an average customer rating and is not child friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes]"	Fitzbillies is a high priced chinese coffee shop located in the city centre. It has an average customer rating and is child friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[no]"	Fitzbillies is a high priced chinese coffee shop in the riverside area. It has an average customer rating and is not children friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes]"	Fitzbillies is a high priced chinese coffee shop in the riverside area. It has an average customer rating and is children friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no]"	Fitzbillies is a coffee shop providing chinese food in the less than £20 price range. It is located in the city centre. Its customer rating is low.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes]"	Fitzbillies is a coffee shop providing chinese food in the less than £20 price range. It is located in the city centre. Its customer rating is low.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no]"	Fitzbillies is a coffee shop providing chinese food in the less than £20 price range. It is located in the riverside. Its customer rating is low. It is not family friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes]"	Fitzbillies is a coffee shop providing chinese food in the less than £20 price range. It is located in the riverside. Its customer rating is low. It is a family friendly restaurant.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no]"	Fitzbillies is a moderately priced chinese coffee shop located in the city centre. It has a customer rating of 1 out of 5 and is not kid friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes]"	Fitzbillies is a coffee shop providing chinese food in the moderate price range. It is located in the city centre. Its customer rating is 1 out of 5.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no]"	Fitzbillies is a moderately priced chinese coffee shop in the riverside area. It has a customer rating of 1 out of 5 and is not kid friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes]"	Fitzbillies is a coffee shop providing chinese food in the moderate price range. It is located in the riverside. Its customer rating is 1 out of 5.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no]"	Fitzbillies is a moderately priced chinese coffee shop located in the city centre. It has a customer rating of 3 out of 5 and is not kid friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes]"	Fitzbillies is a coffee shop serving chinese food in the moderate price range. It is located in the city centre. It has a customer rating of 3 out of 5 and is kid friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no]"	Fitzbillies is a moderately priced chinese coffee shop in the riverside area. It has a customer rating of 3 out of 5 and is not kid friendly.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes]"	Fitzbillies is a coffee shop providing chinese food in the moderate price range. It is located in the riverside. Its customer rating is 3 out of 5.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no]"	Fitzbillies is a coffee shop providing chinese food in the more than £30 price range. It is located in the city centre. Its customer rating is high.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes]"	Fitzbillies is a coffee shop providing chinese food in the more than £30 price range. It is located in the city centre. Its customer rating is high.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no]"	Fitzbillies is a coffee shop providing chinese food in the more than £30 price range. It is located in the riverside. Its customer rating is high. Its no children allowed.
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes]"	Fitzbillies is a highly rated, child friendly, high priced, chinese coffee shop in the riverside area.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no]"	Fitzbillies is a coffee shop serving english food in the £20-25 price range. It is located in the city centre and has a high customer rating. It is not kid friendly.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes]"	Fitzbillies is a kid friendly coffee shop serving english food in the £20-25 price range. It has a high customer rating and is located in the city centre.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no]"	Fitzbillies is a coffee shop providing english food in the £20-25 price range. It is located in the riverside. Its customer rating is high.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes]"	Fitzbillies is a kid friendly coffee shop serving english food in the riverside area. It has a high customer rating and a price range of £20-25.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no]"	Fitzbillies is a cheap english coffee shop in the city centre. It has a customer rating of 5 out of 5 and is not family-friendly.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes]"	Fitzbillies is a family-friendly coffee shop serving cheap english food in the city centre with a customer rating of 5 out of 5.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no]"	Fitzbillies is a cheap english coffee shop in the riverside area. It has a customer rating of 5 out of 5 and is not family-friendly.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes]"	Fitzbillies is a family friendly coffee shop serving cheap english food in the riverside area with a customer rating of 5 out of 5.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no]"	Fitzbillies is a cheap english coffee shop in the city centre. It has an average customer rating and is not family-friendly.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes]"	Fitzbillies is a family-friendly coffee shop serving cheap english food in the city centre with an average customer rating.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no]"	Fitzbillies is a cheap english coffee shop in the riverside area. It has an average customer rating and is not family-friendly.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes]"	Fitzbillies is a cheap family friendly coffee shop in the riverside area. It serves english food and has an average customer rating.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no]"	Fitzbillies is a coffee shop providing english food in the high price range. It is located in the city centre. Its customer rating is 1 out of 5 and is not child friendly.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes]"	Fitzbillies is a coffee shop providing english food in the high price range. It is located in the city centre. It is children friendly and has a customer rating of 1 out of 5.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no]"	Fitzbillies is a coffee shop providing english food in the high price range. It is located in the riverside. Its customer rating is 1 out of 5 and is not children friendly.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes]"	Fitzbillies is a children friendly coffee shop serving english food in the riverside area. It has a high price range and a customer rating of 1 out of 5.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[high], customer rating[average], area[city centre], familyFriendly[no]"	Fitzbillies is a high priced coffee shop serving english food in the city centre. It has an average customer rating and is not child friendly.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes]"	Fitzbillies is a child friendly coffee shop serving english food in the high price range. It has an average customer rating and is located in the city centre.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[high], customer rating[average], area[riverside], familyFriendly[no]"	Fitzbillies is a high priced coffee shop serving english food in the riverside area. It has an average customer rating and is not child friendly.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes]"	Fitzbillies is an expensive, family friendly coffee shop in the riverside area. It serves english food and has an average customer rating.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no]"	Fitzbillies is a coffee shop providing english food in the less than £20 price range. It is located in the city centre. It is not family-friendly and has a low customer rating.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes]"	Fitzbillies is a family-friendly coffee shop that serves english food in the price range of less than £20. It has a low customer rating and is located in the city centre.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no]"	Fitzbillies is a coffee shop providing english food in the less than £20 price range. It is located in the riverside. Its customer rating is low.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes]"	Fitzbillies is a family friendly coffee shop serving english food in the riverside area. It has a low customer rating and a price range of less than £20.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no]"	Fitzbillies is a moderately priced coffee shop serving english food in the city centre. It has a customer rating of 1 out of 5 and is not kid friendly.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes]"	Fitzbillies is a kid friendly coffee shop serving english food in the moderate price range. It is located in the city centre and has a customer rating of 1 out of 5.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no]"	Fitzbillies is a moderately priced coffee shop serving english food in the riverside area. It has a customer rating of 1 out of 5 and is not kid friendly.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes]"	Fitzbillies is a kid friendly coffee shop serving english food in the moderate price range. It is located in the riverside area and has a customer rating of 1 out of 5.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no]"	Fitzbillies is a moderately priced coffee shop serving english food in the city centre. It has a customer rating of 3 out of 5 and is not kid friendly.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes]"	Fitzbillies is a kid friendly coffee shop serving english food in the moderate price range. It is located in the city centre and has a customer rating of 3 out of 5.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no]"	Fitzbillies is a moderately priced coffee shop serving english food in the riverside area. It has a customer rating of 3 out of 5 and is not kid friendly.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes]"	Fitzbillies is a kid friendly coffee shop serving english food in the moderate price range. It is located in the riverside area and has a customer rating of 3 out of 5.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no]"	Fitzbillies is a coffee shop providing english food in the more than £30 price range. It is located in the city centre. Its customer rating is high.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes]"	Fitzbillies is a child friendly coffee shop serving english food in the city centre. It has a high customer rating and a price range of more than £30.
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no]"	Fitzbillies is a coffee shop providing english food in the more than £30 price range. It is located in the riverside. Its customer rating is high.
"name[Midsummer House], customer rating[1 out of 5], near[The Bakers]"	Midsummer House has a customer rating of 1 out of 5 and is located near The Bakers.
"name[Midsummer House], customer rating[3 out of 5], near[The Bakers]"	Midsummer House has a customer rating of 3 out of 5 and is located near The Bakers.
"name[Midsummer House], customer rating[5 out of 5], near[The Bakers]"	Midsummer House has a 5 out of 5 customer rating and is near The Bakers.
"name[Midsummer House], customer rating[average], near[The Bakers]"	Midsummer House has an average customer rating near The Bakers.
"name[Midsummer House], customer rating[high], near[The Bakers]"	Midsummer House is near The Bakers and has a high customer rating.
"name[Midsummer House], customer rating[low], near[The Bakers]"	Midsummer House has a low customer rating and is located near The Bakers.
"name[Taste of Cambridge], eatType[coffee shop], food[Chinese], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	Taste of Cambridge is a coffee shop serving chinese food in the city centre near Crowne Plaza Hotel. It is not family friendly.
"name[Taste of Cambridge], eatType[coffee shop], food[Chinese], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	Taste of Cambridge is a family friendly chinese coffee shop located in the city centre near Crowne Plaza Hotel.
"name[Taste of Cambridge], eatType[coffee shop], food[Chinese], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	Taste of Cambridge is a chinese coffee shop in the riverside area near Crowne Plaza Hotel. It is not family friendly.
"name[Taste of Cambridge], eatType[coffee shop], food[Chinese], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	Taste of Cambridge is a family friendly chinese coffee shop in the riverside area near Crowne Plaza Hotel.
"name[Taste of Cambridge], eatType[coffee shop], food[English], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	Taste of Cambridge is a non family-friendly coffee shop serving english food near Crowne Plaza Hotel in the city centre.
"name[Taste of Cambridge], eatType[coffee shop], food[English], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	Taste of Cambridge is a family-friendly coffee shop serving english food in the city centre near Crowne Plaza Hotel.
"name[Taste of Cambridge], eatType[coffee shop], food[English], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	Taste of Cambridge is a coffee shop serving english food near Crowne Plaza Hotel in the riverside area. It is not family-friendly.
"name[Taste of Cambridge], eatType[coffee shop], food[English], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	Taste of Cambridge is a family friendly coffee shop serving english food near Crowne Plaza Hotel in the riverside area.
"name[The Cambridge Blue], eatType[coffee shop], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Burger King]"	The Cambridge Blue is a child friendly coffee shop in the riverside area near Burger King with a customer rating of 1 out of 5.
"name[The Cambridge Blue], eatType[coffee shop], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Burger King]"	The Cambridge Blue is a kid friendly coffee shop in the riverside area near Burger King with a customer rating of 3 out of 5.
"name[The Cambridge Blue], eatType[coffee shop], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Burger King]"	The Cambridge Blue is a coffee shop near Burger King in the city centre. It is not family-friendly and has a customer rating of 5 out of 5.
"name[The Cambridge Blue], eatType[coffee shop], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Burger King]"	The Cambridge Blue is a family-friendly coffee shop in the city centre near Burger King with a customer rating of 5 out of 5.
"name[The Cambridge Blue], eatType[coffee shop], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Burger King]"	The Cambridge Blue is a coffee shop in the riverside area near Burger King. It has a 5 out of 5 customer rating and is not family-friendly.
"name[The Cambridge Blue], eatType[coffee shop], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Burger King]"	The Cambridge Blue is a family friendly coffee shop in the riverside area near Burger King with a 5 out of 5 customer rating.
"name[The Cambridge Blue], eatType[coffee shop], customer rating[average], area[city centre], familyFriendly[no], near[Burger King]"	The Cambridge Blue is a coffee shop near Burger King in the city centre. It is not family-friendly and has an average customer rating.
"name[The Cambridge Blue], eatType[coffee shop], customer rating[average], area[city centre], familyFriendly[yes], near[Burger King]"	The Cambridge Blue is a family-friendly coffee shop near Burger King in the city centre. It has an average customer rating.
"name[The Cambridge Blue], eatType[coffee shop], customer rating[average], area[riverside], familyFriendly[no], near[Burger King]"	The Cambridge Blue is a coffee shop in the riverside area near Burger King. It is not family-friendly and has an average customer rating.
"name[The Cambridge Blue], eatType[coffee shop], customer rating[average], area[riverside], familyFriendly[yes], near[Burger King]"	The Cambridge Blue is a family friendly coffee shop in the riverside area near Burger King. It has an average customer rating.
"name[The Cambridge Blue], eatType[coffee shop], customer rating[high], area[riverside], familyFriendly[yes], near[Burger King]"	The Cambridge Blue is a child friendly coffee shop in the riverside area near Burger King with a high customer rating.
"name[The Cambridge Blue], eatType[coffee shop], customer rating[low], area[city centre], familyFriendly[no], near[Burger King]"	The Cambridge Blue is a coffee shop in the city centre near Burger King. It is not family-friendly and has a low customer rating.
"name[The Cambridge Blue], eatType[coffee shop], customer rating[low], area[city centre], familyFriendly[yes], near[Burger King]"	The Cambridge Blue is a family-friendly coffee shop near Burger King in the city centre with a low customer rating.
"name[The Cambridge Blue], eatType[coffee shop], customer rating[low], area[riverside], familyFriendly[no], near[Burger King]"	The Cambridge Blue is a coffee shop in the riverside area near Burger King. It has a low customer rating and is not family-friendly.
"name[The Cambridge Blue], eatType[coffee shop], customer rating[low], area[riverside], familyFriendly[yes], near[Burger King]"	The Cambridge Blue is a family friendly coffee shop in the riverside area near Burger King with a low customer rating.
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], familyFriendly[yes], near[The Portland Arms]"	The Cricketers is a coffee shop providing chinese food it is located near The Portland Arms. Its customer rating is 1 out of 5.
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], familyFriendly[yes], near[The Portland Arms]"	The Cricketers is a coffee shop serving chinese food near The Portland Arms. It has a customer rating of 3 out of 5 and is kid friendly.
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], familyFriendly[no], near[The Portland Arms]"	The Cricketers is a chinese coffee shop near The Portland Arms. It has a customer rating of 5 out of 5 and is not family friendly.
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], familyFriendly[yes], near[The Portland Arms]"	The Cricketers is a 5 out of 5 rated, family friendly coffee shop that serves chinese food near The Portland Arms.
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[average], familyFriendly[no], near[The Portland Arms]"	The Cricketers is a chinese coffee shop near The Portland Arms. It has an average customer rating and is not family friendly.
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[average], familyFriendly[yes], near[The Portland Arms]"	The Cricketers is a family friendly coffee shop serving chinese food near The Portland Arms. It has an average customer rating.
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[high], familyFriendly[yes], near[The Portland Arms]"	The Cricketers is a children friendly coffee shop that serves highly rated chinese food near The Portland Arms.
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[low], familyFriendly[no], near[The Portland Arms]"	The Cricketers is a coffee shop providing chinese food it is located near The Portland Arms. Its customer rating is low.
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[low], familyFriendly[yes], near[The Portland Arms]"	The Cricketers is a family friendly coffee shop serving chinese food near The Portland Arms. It has a low customer rating.
"name[The Cricketers], eatType[coffee shop], food[English], customer rating[1 out of 5], familyFriendly[yes], near[The Portland Arms]"	The Cricketers is a family friendly coffee shop near The Portland Arms that serves english food and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[coffee shop], food[English], customer rating[3 out of 5], familyFriendly[yes], near[The Portland Arms]"	The Cricketers is a kids friendly coffee shop serving english food near The Portland Arms with a customer rating of 3 out of 5.
"name[The Cricketers], eatType[coffee shop], food[English], customer rating[5 out of 5], familyFriendly[no], near[The Portland Arms]"	The Cricketers is a coffee shop serving english food near The Portland Arms. It has a customer rating of 5 out of 5 and is not family-friendly.
"name[The Cricketers], eatType[coffee shop], food[English], customer rating[5 out of 5], familyFriendly[yes], near[The Portland Arms]"	The Cricketers is a family friendly coffee shop serving english food near The Portland Arms with a customer rating of 5 out of 5.
"name[The Cricketers], eatType[coffee shop], food[English], customer rating[average], familyFriendly[no], near[The Portland Arms]"	The Cricketers is an average rated english coffee shop near The Portland Arms. It is not family-friendly.
